Month,Year,Region,MTD_Cases,MTD_Deaths
Jan,2019,Region I,411,1
Jan,2019,Region II,357,10
Jan,2019,Region III,1219,2
Jan,2019,Region IV-A,1903,4
Jan,2019,MIMAROPA,296,0
Jan,2019,Region V,258,2
Jan,2019,Region VI,722,3
Jan,2019,Region VII,1657,14
Jan,2019,Region VIII,487,1
Jan,2019,Region IX,468,5
Jan,2019,Region X,1146,0
Jan,2019,Region XI,557,0
Jan,2019,Region XII,491,1
Jan,2019,ARMM,91,0
Jan,2019,CAR,190,0
Jan,2019,CARAGA,385,1
Jan,2019,NCR,1793,5
Feb,2019,Region I,827,2
Feb,2019,Region II,2810,17
Feb,2019,Region III,3070,6
Feb,2019,Region IV-A,3767,12
Feb,2019,MIMAROPA,946,4
Feb,2019,Region V,713,5
Feb,2019,Region VI,2703,12
Feb,2019,Region VII,4089,29
Feb,2019,Region VIII,1299,5
Feb,2019,Region IX,1467,10
Feb,2019,Region X,2685,2
Feb,2019,Region XI,1320,2
Feb,2019,Region XII,2182,4
Feb,2019,ARMM,363,1
Feb,2019,CAR,726,3
Feb,2019,CARAGA,3876,12
Feb,2019,NCR,3821,4
Mar,2019,Region I,1234,2
Mar,2019,Region II,4163,22
Mar,2019,Region III,4429,8
Mar,2019,Region IV-A,5366,20
Mar,2019,MIMAROPA,1611,6
Mar,2019,Region V,1104,8
Mar,2019,Region VI,4719,27
Mar,2019,Region VII,6189,37
Mar,2019,Region VIII,2383,9
Mar,2019,Region IX,2553,19
Mar,2019,Region X,4287,12
Mar,2019,Region XI,2059,3
Mar,2019,Region XII,3615,13
Mar,2019,ARMM,637,5
Mar,2019,CAR,1189,3
Mar,2019,CARAGA,5099,15
Mar,2019,NCR,5339,18
Apr,2019,Region I,1426,3
Apr,2019,Region II,5041,21
Apr,2019,Region III,5095,9
Apr,2019,Region IV-A,7812,31
Apr,2019,MIMAROPA,2260,8
Apr,2019,Region V,1359,13
Apr,2019,Region VI,5878,35
Apr,2019,Region VII,7452,42
Apr,2019,Region VIII,2945,14
Apr,2019,Region IX,3661,30
Apr,2019,Region X,5309,16
Apr,2019,Region XI,2441,5
Apr,2019,Region XII,5060,19
Apr,2019,ARMM,936,9
Apr,2019,CAR,1353,3
Apr,2019,CARAGA,5536,16
Apr,2019,NCR,5918,20
May,2019,Region I,1636,3
May,2019,Region II,5268,22
May,2019,Region III,5525,10
May,2019,Region IV-A,8565,37
May,2019,MIMAROPA,2484,8
May,2019,Region V,1533,15
May,2019,Region VI,7807,46
May,2019,Region VII,8007,47
May,2019,Region VIII,3371,15
May,2019,Region IX,5427,37
May,2019,Region X,6335,18
May,2019,Region XI,2706,5
May,2019,Region XII,6402,23
May,2019,ARMM,1167,11
May,2019,CAR,1548,3
May,2019,CARAGA,5811,16
May,2019,NCR,6349,22
Jun,2019,Region I,2516,5
Jun,2019,Region II,6499,24
Jun,2019,Region III,7271,15
Jun,2019,Region IV-A,11474,46
Jun,2019,MIMAROPA,3166,9
Jun,2019,Region V,2103,22
Jun,2019,Region VI,13164,78
Jun,2019,Region VII,9199,60
Jun,2019,Region VIII,4177,17
Jun,2019,Region IX,8256,43
Jun,2019,Region X,8739,25
Jun,2019,Region XI,3377,6
Jun,2019,Region XII,9107,41
Jun,2019,ARMM,1784,17
Jun,2019,CAR,2306,5
Jun,2019,CARAGA,6177,17
Jun,2019,NCR,7315,26
Jul,2019,Region I,5169,10
Jul,2019,Region II,7968,38
Jul,2019,Region III,9571,29
Jul,2019,Region IV-A,19732,69
Jul,2019,MIMAROPA,4623,10
Jul,2019,Region V,4006,37
Jul,2019,Region VI,27765,126
Jul,2019,Region VII,11217,74
Jul,2019,Region VIII,9438,34
Jul,2019,Region IX,13579,70
Jul,2019,Region X,14349,55
Jul,2019,Region XI,4449,21
Jul,2019,Region XII,12506,57
Jul,2019,ARMM,2457,19
Jul,2019,CAR,3510,10
Jul,2019,CARAGA,7165,18
Jul,2019,NCR,10103,43
Aug,2019,Region I,10892,25
Aug,2019,Region II,10982,59
Aug,2019,Region III,19088,55
Aug,2019,Region IV-A,39810,124
Aug,2019,MIMAROPA,7272,19
Aug,2019,Region V,6976,52
Aug,2019,Region VI,45345,201
Aug,2019,Region VII,16338,97
Aug,2019,Region VIII,18107,52
Aug,2019,Region IX,18505,94
Aug,2019,Region X,19925,76
Aug,2019,Region XI,5975,31
Aug,2019,Region XII,16956,67
Aug,2019,ARMM,3456,26
Aug,2019,CAR,5272,17
Aug,2019,CARAGA,8445,19
Aug,2019,NCR,18136,93
